,spearman_r_st_fema,pvalue_st_fema,spearman_r_st_us,pvalue_st_us
g23g33g25,0.8928705440900564,9.755463214204304e-15,0.7168855534709195,1.9559441708701676e-07
g36,0.5694391982070459,1.3658693427802303e-06,0.729596333509607,1.740745136422298e-11
g51,0.8817790745520518,6.514867822944628e-45,0.6643948178904974,2.0989644221877527e-18
g13,0.7959756388822546,4.714730582300647e-36,0.4918826128492954,4.5667644245553314e-11
g17,0.35761742936143986,0.00022420276346845884,0.4995674324714025,9.033362722366269e-08
g48,0.6794988164261379,9.41512036671969e-36,0.6165667387368254,5.442459185872857e-28
g29,0.8129961335121914,2.638863095291442e-28,0.8944448828217471,2.6684498369554423e-41
g46,0.8439828827888529,5.674568195433591e-19,0.5792506001461227,3.4775609739859265e-07
g06,0.6835953120674275,3.3450313826134266e-09,0.48235873142821994,0.00012591019787918073
g16,0.8136715997181112,1.8965613895871346e-11,0.6522903453136011,1.607622498386175e-06
